15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 499 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0150003 , m_deltaWeight[ 0 ] = 0.0150003 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 1 ] = 0.0299997 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0600004 , m_deltaWeight[ 2 ] = 0.0150003 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0750008 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = 0.0349998 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.125 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.155001 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.185 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:34 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.22 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 500 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0500002 , m_deltaWeight[ 1 ] = 0.0299997 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0150003 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0800009 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.115001 , m_deltaWeight[ 4 ] = 0.0349998 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.13 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.160001 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.18 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.190001 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:35 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.225 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 501 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0450001 , m_deltaWeight[ 2 ] = 0.0150003 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0600004 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0950003 , m_deltaWeight[ 4 ] = 0.0349998 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.11 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.14 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.16 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.17 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:36 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.205 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 502 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0800009 , m_deltaWeight[ 3 ] = 0.0150003 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.115001 , m_deltaWeight[ 4 ] = 0.0349998 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.13 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.160001 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.18 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.190001 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:37 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.225 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 503 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.115 , m_deltaWeight[ 4 ] = 0.0349998 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.13 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.16 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.18 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.19 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:38 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.225 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 504 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = -39.97 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.125 , m_deltaWeight[ 5 ] = 0.0149994 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.155001 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.185 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:39 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.22 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 505 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = -39.97 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.130001 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.160002 , m_deltaWeight[ 6 ] = 0.0300007 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.180001 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.190001 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:40 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.225001 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 506 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 40.08 , m_deltaWeight[ 3 ] = 40.015 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.110001 , m_deltaWeight[ 4 ] = -39.97 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.130001 , m_deltaWeight[ 5 ] = 0.0200005 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.145001 , m_deltaWeight[ 6 ] = 0.0150003 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.165001 , m_deltaWeight[ 7 ] = 0.0199995 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.175001 , m_deltaWeight[ 8 ] = 0.0100002 
15:26:41 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.210001 , m_deltaWeight[ 9 ] = 0.0349998 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 543 >: m_totalcount = 507 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0200005 , m_deltaWeight[ 0 ] = 0.0200005 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0299997 , m_deltaWeight[ 1 ] = 0.00999928 
15:26:42 周三 Warning: file< source\datatestdlg.cpp >, line< 549 >: totalWeight = 0.0650005 , m_deltaWeight[ 2 ] = 0.0350008 
