11:38:17 周一 Fatal: ASSERT: "d->ref == 1" in file tools\qlist.cpp, line 233
13:00:41 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:01:04 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:02:45 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:06:04 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:08:42 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:09:19 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:12:25 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:32:19 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:33:08 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:34:55 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:39:58 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:40:07 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:40:37 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:40:48 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:41:46 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
13:42:59 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
14:01:24 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
14:02:14 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
14:04:44 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
14:05:46 周一 Fatal: ASSERT: "uint(i) < uint(size())" in file c:\iwmake\build_vs2010_opensource_________________padding_________________\include\qtcore\../../src/corelib/tools/qstring.h, line 699
