14:44:44 周五 QMetaObject::connectSlotsByName: No matching signal for on_btn_pt25_exit_clicked()
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:05:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
16:21:20 周五 QSqlQuery::value: not positioned on a valid record
